Evaluation arguments: -s output/graph/pos/graph_pos_stripped.conllu output/transition/pos/transitionposout_stripped.conllu -g UD_SLOG/stripped_full/slog-ud-generalisation_stripped.conllu --GroupBy StartWordPosition:accuracy
====================================================
Gold:   UD_SLOG/stripped_full/slog-ud-generalisation_stripped.conllu
Parsed: output/graph/pos/graph_pos_stripped.conllu
====================================================
GroupBy-> StartWordPosition
Metric-> LAS

====================================================

accuracy /    StartWordPosition
-------------------------------
0.857         0
0.88          1
0.928         2
0.942         3
0.881         4
0.947         5
0.891         6
0.908         7
0.912         8
0.856         9
0.892         10
0.912         11
0.877         12
0.832         13
0.811         14
0.824         15
0.754         16
0.699         17
0.706         18
0.665         19
0.678         20
0.672         21
0.65          22
0.711         23
0.705         24
0.696         25
0.769         26
0.776         27
0.765         28
0.866         29
0.818         30
0.813         31
0.907         32
0.871         33
0.878         34
0.907         35
0.91          36
0.863         37
0.829         38
0.833         39
0.788         40
0.734         41
0.678         42
0.706         43
0.741         44
0.728         45
0.673         46
0.824         47
0.939         48
0.994         49
1             50
1             51
1             52
1             53
1             54
1             55
1             56
1             57
1             58
1             59
1             60

====================================================
Gold:   UD_SLOG/stripped_full/slog-ud-generalisation_stripped.conllu
Parsed: output/transition/pos/transitionposout_stripped.conllu
====================================================
GroupBy-> StartWordPosition
Metric-> LAS

====================================================

accuracy /    StartWordPosition
-------------------------------
0.854         0
0.861         1
0.994         2
0.961         3
0.919         4
0.932         5
0.881         6
0.896         7
0.913         8
0.892         9
0.891         10
0.934         11
0.955         12
0.961         13
0.978         14
0.979         15
0.985         16
0.996         17
0.983         18
0.997         19
0.996         20
0.994         21
0.998         22
1             23
1             24
0.999         25
1             26
1             27
1             28
1             29
1             30
1             31
1             32
1             33
1             34
1             35
1             36
1             37
1             38
1             39
1             40
1             41
1             42
1             43
1             44
1             45
1             46
1             47
1             48
1             49
1             50
1             51
1             52
1             53
1             54
1             55
1             56
1             57
1             58
1             59
1             60
